날짜,한화
2022-03-18,127829.77680000002
2022-03-17,117483.66840000001
2022-03-16,116337.72950000002
2022-03-15,123444.80040000001
2022-03-14,131660.7092
2022-03-11,127762.4658
2022-03-10,132622.2838
2022-03-09,150545.649
2022-03-08,145541.29369999998
2022-03-07,144698.158
2022-03-04,128799.51879999999
2022-03-03,132994.818
2022-03-02,128361.896
2022-03-01,115188.8484
2022-02-28,113673.5831
2022-02-25,111690.97519999999
2022-02-24,110787.1488
2022-02-23,110097.17399999998
2022-02-22,110109.17499999999
2022-02-21,109409.85540000001
2022-02-20,109135.60800000001
2022-02-18,109673.7796
2022-02-17,108989.1
2022-02-16,110711.9365
2022-02-15,113830.13879999999
2022-02-14,112923.9577
2022-02-11,108427.5
2022-02-10,108885.99710000001
2022-02-09,108175.2652
2022-02-08,110036.73
2022-02-07,109848.85699999999
2022-02-04,107839.28110000001
2022-02-03,104986.534
2022-02-02,105356.49149999999
2022-02-01,104740.7115
2022-01-31,104330.47350000001
2022-01-28,104210.75
2022-01-27,103756.43250000001
2022-01-26,101184.0102
2022-01-25,99798.53400000001
2022-01-24,101089.60049999999
2022-01-21,101326.6998
2022-01-20,103320.78600000001
2022-01-19,104367.6483
2022-01-18,101238.808
2022-01-17,100401.7536
2022-01-16,100097.8306
2022-01-14,97242.354
2022-01-13,98574.0204
2022-01-12,96418.21019999999
2022-01-11,93173.9388
2022-01-10,93598.21919999999
2022-01-07,94516.902
2022-01-06,91578.8336
2022-01-05,91685.20920000001
2022-01-04,90496.4886
2022-01-03,90067.3155
2021-12-31,91079.74599999998
2021-12-30,90853.74620000001
2021-12-29,90138.57640000002
2021-12-28,90042.6828
2021-12-27,86962.63799999999
2021-12-23,86245.50880000001
2021-12-22,83975.3029
2021-12-21,81212.3982
2021-12-20,82461.87949999998
2021-12-17,84913.0672
2021-12-16,84693.078
2021-12-15,82791.39749999999
2021-12-14,83712.50720000001
2021-12-13,85211.7936
2021-12-10,84177.0528
2021-12-09,86719.416
2021-12-08,85530.6464
2021-12-07,82883.8332
2021-12-06,79758.49139999998
2021-12-03,80363.47499999999
2021-12-02,78018.9751
2021-12-01,79272.15990000001
2021-11-30,82687.8232
2021-11-29,81967.62770000001
2021-11-26,92720.0904
2021-11-25,92483.6972
2021-11-24,92798.676
2021-11-23,90616.569
2021-11-22,89272.13249999999
2021-11-19,93011.622
2021-11-18,92559.4934
2021-11-17,95518.02380000001
2021-11-16,95407.56770000001
2021-11-15,95065.0694
2021-11-12,95629.64759999998
2021-11-11,95625.00009999999
2021-11-10,98769.0785
2021-11-09,96305.4872
2021-11-08,94764.70779999999
2021-11-05,92714.47810000001
2021-11-04,94407.13920000002
2021-11-03,97844.83019999998
2021-11-02,98615.1847
2021-11-01,97998.84959999999
2021-10-29,98535.60010000001
2021-10-28,97259.8025
2021-10-27,99768.3897
2021-10-26,99364.75639999998
2021-10-25,100601.32160000001
2021-10-22,98780.9075
2021-10-21,100006.81319999999
2021-10-20,99285.4422
2021-10-19,98081.2538
2021-10-18,98020.594
2021-10-15,96508.986
2021-10-14,95088.14100000002
2021-10-13,95469.57239999999
2021-10-12,95628.365
2021-10-11,94556.1036
2021-10-08,92825.3174
2021-10-07,90856.15000000001
2021-10-06,92858.5632
2021-10-05,91698.7842
2021-10-04,89896.71900000001
2021-10-01,89196.73680000001
2021-09-30,88357.05679999999
2021-09-29,87423.27679999999
2021-09-28,87980.79770000001
2021-09-27,86981.09790000001
2021-09-24,85942.7456
2021-09-23,84232.2486
2021-09-22,82881.0385
2021-09-21,82388.41260000001
2021-09-20,83582.5472
2021-09-17,84045.3046
2021-09-16,83965.2375
2021-09-15,81956.3548
2021-09-14,81665.49119999999
2021-09-13,80825.173
2021-09-10,79257.7779
2021-09-09,80619.2088
2021-09-08,80041.44270000001
2021-09-07,80447.49549999999
2021-09-06,80026.375
2021-09-05,80922.3332
2021-09-03,81984.7424
2021-09-02,80340.45340000001
2021-09-01,80222.69399999999
2021-08-31,81455.29920000001
2021-08-30,80765.685
2021-08-27,78750.56749999999
2021-08-26,79094.88
2021-08-25,78055.8408
2021-08-24,75561.066
2021-08-23,71072.45719999999
2021-08-20,73396.8165
2021-08-19,73811.0652
2021-08-18,76230.1052
2021-08-17,77452.12090000001
2021-08-16,77890.19849999998
2021-08-13,79377.429
2021-08-12,79299.288
2021-08-11,78816.6444
2021-08-10,77174.314
2021-08-09,78245.95479999999
2021-08-06,79657.5768
2021-08-05,78327.5316
2021-08-04,80831.43359999999
2021-08-03,82137.85919999999
2021-08-02,85138.4072
2021-07-30,83870.925
2021-07-29,82664.148
2021-07-28,82279.484
2021-07-27,83060.9442
2021-07-26,82803.45240000001
2021-07-23,82130.18009999998
2021-07-22,80528.9982
2021-07-21,75862.64250000002
2021-07-20,75719.538
2021-07-19,80825.87909999999
2021-07-16,80827.4396
2021-07-15,82773.84959999999
2021-07-14,84989.45710000001
2021-07-13,83956.924
2021-07-12,84471.8954
2021-07-09,82588.9284
2021-07-08,81687.0579
2021-07-07,83895.8155
2021-07-06,85426.55549999999
2021-07-05,85037.4855
2021-07-04,85392.7528
2021-07-02,85107.9394
2021-07-01,83263.73999999999
2021-06-30,82146.0723
2021-06-29,81319.27739999999
2021-06-28,82613.5345
2021-06-25,81572.89919999999
2021-06-24,81855.9584
2021-06-23,81492.96519999999
2021-06-22,81543.828
2021-06-21,79435.8336
2021-06-18,79393.104
2021-06-17,79610.315
2021-06-16,80310.1005
2021-06-15,78850.97279999999
2021-06-14,78692.0895
2021-06-11,78422.272
2021-06-10,77907.27040000001
2021-06-09,78589.0254
2021-06-08,77854.244
2021-06-07,78408.82719999999
2021-06-04,77729.79089999999
2021-06-03,77791.626
2021-06-02,76629.48929999999
2021-06-01,75809.15880000002
2021-05-31,75003.7016
2021-05-30,75163.56300000001
2021-05-28,75848.994
2021-05-27,74077.36720000001
2021-05-26,73755.4532
2021-05-25,73478.2794
2021-05-24,71563.1415
2021-05-21,69627.4878
2021-05-20,71373.33660000001
2021-05-19,73146.24
2021-05-18,74141.0208
2021-05-17,72561.555
2021-05-14,70855.1298
2021-05-13,73208.0225
2021-05-12,72689.40239999999
2021-05-11,72418.665
2021-05-10,73450.20259999999
2021-05-07,72473.83000000002
2021-05-06,72935.9615
2021-05-05,74125.6395
2021-05-04,72083.2365
2021-05-03,71076.33399999999
2021-04-30,72422.9488
2021-04-29,71442.735
2021-04-28,70934.4992
2021-04-27,69516.0869
2021-04-26,69305.505
2021-04-23,68998.68000000001
2021-04-22,68399.8119
2021-04-21,70191.2456
2021-04-20,71701.4243
2021-04-19,71095.6028
2021-04-16,71422.4272
2021-04-15,71220.3182
2021-04-14,68451.9264
2021-04-13,67330.57800000001
2021-04-12,67376.494
2021-04-09,67851.504
2021-04-08,67459.96800000001
2021-04-07,66755.7974
2021-04-06,66412.836
2021-04-05,69387.375
2021-04-01,66742.4259
2021-03-31,68304.2685
2021-03-30,70191.386
2021-03-29,69246.94499999999
2021-03-26,66132.108
2021-03-25,69124.128
2021-03-24,65201.234000000004
2021-03-23,69971.3424
2021-03-22,69480.71749999998
2021-03-19,67364.1468
2021-03-18,72604.561
2021-03-17,72862.5275
2021-03-16,72746.9149
2021-03-15,73747.7884
2021-03-12,73840.24119999999
2021-03-11,71657.838
2021-03-10,70876.44480000001
2021-03-09,72017.3034
2021-03-08,73749.4136
2021-03-05,71030.25279999999
2021-03-04,67585.02
2021-03-03,65956.389
2021-03-02,66392.1313
2021-03-01,68415.7215
2021-02-26,70003.99519999999
2021-02-25,70139.7672
2021-02-24,68093.8029
2021-02-23,69451.98959999999
2021-02-22,65813.70880000001
2021-02-19,67430.622
2021-02-18,68685.61439999999
2021-02-17,67198.3224
2021-02-16,67024.0512
2021-02-15,67508.4348
2021-02-14,66805.5324
2021-02-12,64221.8548
2021-02-11,64357.384
2021-02-10,64452.230500000005
2021-02-09,64242.92939999999
2021-02-08,62764.2882
2021-02-05,61956.380999999994
2021-02-04,61692.542400000006
2021-02-03,60785.109
2021-02-02,59055.824799999995
2021-02-01,56983.1196
2021-01-29,57266.436499999996
2021-01-28,57630.689999999995
2021-01-27,57897.768800000005
2021-01-26,57831.1591
2021-01-25,57092.239499999996
2021-01-22,57774.393000000004
2021-01-21,57556.082
2021-01-20,57735.839700000004
2021-01-19,56457.96
2021-01-18,56673.018000000004
2021-01-17,56696.3187
2021-01-15,58747.986
2021-01-14,57981.332
2021-01-13,58645.2648
2021-01-12,57536.798800000004
2021-01-11,58199.224599999994
2021-01-08,56529.2442
2021-01-07,55800.7843
2021-01-06,54776.0936
2021-01-05,51834.1938
2021-01-04,52955.407999999996
2020-12-31,52680.226
2020-12-30,52621.4916
2020-12-29,52100.695999999996
2020-12-28,52442.40819999999
2020-12-24,52292.10420000001
2020-12-23,50804.1141
2020-12-22,51981.522899999996
2020-12-21,52611.04979999999
2020-12-18,52895.246
2020-12-17,52642.656
2020-12-16,52656.548
2020-12-15,52150.4418
2020-12-14,51637.584599999995
2020-12-11,51952.107899999995
2020-12-10,50548.217699999994
2020-12-09,50645.18400000001
2020-12-08,50865.696599999996
2020-12-07,51460.941999999995
2020-12-04,50847.067599999995
2020-12-03,49789.083300000006
2020-12-02,49074.9602
2020-12-01,49910.7728
2020-11-30,50248.055
2020-11-27,51179.877
2020-11-26,50918.6673
2020-11-25,50072.904
2020-11-24,47957.238000000005
2020-11-23,47636.2986
2020-11-20,46844.94600000001
2020-11-19,47005.1526
2020-11-18,46782.976500000004
2020-11-17,46955.664
2020-11-16,45657.222
2020-11-13,46285.126399999994
2020-11-12,47074.255800000006
2020-11-11,47192.6112
2020-11-10,45198.47409999999
2020-11-09,42136.323000000004
2020-11-06,43748.295600000005
2020-11-05,44382.3519
2020-11-04,43444.0755
2020-11-03,42237.528900000005
2020-11-02,40251.4804
2020-10-30,41308.4461
2020-10-29,42893.808000000005
2020-10-28,44768.736
2020-10-27,44312.5111
2020-10-26,45391.4685
