태풍명,영문명,영향도,활동년도,활동시기
사올라,SAOLA,0,2017,10
담레이,DAMREY,0,2017,11
하이쿠이,HAIKUI,0,2017,11
기러기,KIROGI,0,2017,11
카이탁,KAI-TAK,0,2017,12
덴빈,TEMBIN,0,2017,12
볼라벤,BOLAVEN,0,2018,1
산바,SANBA,0,2018,2
즐라왓,JELAWAT,0,2018,3
에위니아,EWINIAR,0,2018,6
말릭시,MALIKSI,0,2018,6
개미,GAEMI,0,2018,6
쁘라삐룬,PRAPIROON,2,2018,6
마리아,MARIA,0,2018,7
손띤,SON-TINH,0,2018,7
암필,AMPIL,0,2018,7
우쿵,WUKONG,0,2018,7
종다리,JONGDARI,0,2018,7
산산,SHANSHAN,0,2018,8
야기,YAGI,0,2018,8
리피,LEEPI,0,2018,8
버빙카,BEBINCA,0,2018,8
헥터,HECTOR,0,2018,8
시마론,CIMARON,0,2018,8
룸비아,RUMBIA,2,2018,8
솔릭,SOULIK,1,2018,8
제비,JEBI,0,2018,8
짜미,TRAMI,2,2018,9
콩레이,KONG-REY,1,2018,9
망쿳,MANGKHUT,0,2018,9
바리자트,BARIJAT,0,2018,9
위투,YUTU,0,2018,10
도라지,TORAJI,0,2018,11
마니,MAN-YI,0,2018,11
우사기,USAGI,0,2018,11
파북,PABUK,0,2019,1
우딥,WUTIP,0,2019,2
스팟,SEPAT,0,2019,6
문,MUN,0,2019,7
나리,NARI,0,2019,7
위파,WIPHA,0,2019,7
다나스,DANAS,2,2019,7
바이루,BAILU,0,2019,8
버들,PODUL,0,2019,8
프란시스코,FRANCISCO,1,2019,8
레끼마,LEKIMA,2,2019,8
크로사,KROSA,2,2019,8
링링,LINGLING,2,2019,9
타파,TAPAH,2,2019,9
미탁,MITAG,1,2019,9
가지키,KAJIKI,0,2019,9
파사이,FAXAI,0,2019,9
페이파,PEIPAH,0,2019,9
하기비스,HAGIBIS,0,2019,10
너구리,NEOGURI,0,2019,10
부알로이,BUALOI,0,2019,10
마트모,MATMO,0,2019,10
할롱,HALONG,0,2019,11
나크리,NAKRI,0,2019,11
펑선,FENGSHEN,0,2019,11
갈매기,KALMAEGI,0,2019,11
풍웡,FUNG-WONG,0,2019,11
간무리,KAMMURI,0,2019,11
판폰,PHANFONE,0,2019,12
봉퐁,VONGFONG,0,2020,5
누리,NURI,0,2020,6
실라코,SINLAKU,0,2020,8
하구핏,HAGUPIT,0,2020,8
메칼라,MEKKHALA,0,2020,8
히고스,HIGOS,0,2020,8
장미,JANGMI,1,2020,8
바비,BAVI,2,2020,8
마이삭,MAYSAK,1,2020,8
하이선,HAISHEN,1,2020,9
노을,NOUL,0,2020,9
돌핀,DOLPHIN,0,2020,9
구지라,KUJIRA,0,2020,9
찬홈,CHAN-HOM,0,2020,10
